\lambda [nm]	
324.7599792	-0.000289529
324.9400024	-0.00028309
325.1199951	-0.000297714
325.2999878	-0.000282466
325.4799805	-0.000288908
325.6600037	-0.000288254
325.8399963	-0.000296516
326.019989	-0.000282955
326.1999817	-0.000290769
326.3800049	-0.000299452
326.5599976	-0.000289138
326.7399902	-0.000292018
326.9199829	-0.000283701
327.0999756	-0.000294834
327.2799988	-0.000303201
327.4599915	-0.000289282
327.6399841	-0.000300911
327.8199768	-0.00029686
328	-0.000287922
328.1799927	-0.000295624
328.3599854	-0.000294757
328.539978	-0.000282218
328.7200012	-0.000289592
328.8999939	-0.000279688
329.0799866	-0.000301566
329.2599792	-0.000288616
329.4400024	-0.000288562
329.6199951	-0.000297374
329.7999878	-0.000288397
329.9799805	-0.000292915
330.1600037	-0.000302202
330.3399963	-0.000305071
330.519989	-0.000300636
330.6999817	-0.00029828
330.8800049	-0.000300761
331.0599976	-0.000290679
331.2399902	-0.00028613
331.4199829	-0.000288291
331.5999756	-0.000303639
331.7799988	-0.000296869
331.9599915	-0.000295784
332.1399841	-0.000290947
332.3199768	-0.000287397
332.5	-0.000289023
332.6799927	-0.000296231
332.8599854	-0.000289233
333.039978	-0.000295666
333.2200012	-0.000292409
333.3999939	-0.000280475
333.5799866	-0.000294833
333.7599792	-0.000294448
333.9400024	-0.000294767
334.1199951	-0.000286841
334.2999878	-0.0003003
334.4799805	-0.000288359
334.6600037	-0.000298704
334.8399963	-0.000295855
335.019989	-0.00030002
335.1999817	-0.000295269
335.3800049	-0.000289112
335.5599976	-0.000286205
335.7399902	-0.000296716
335.9199829	-0.00029751
336.0999756	-0.000290609
336.2799988	-0.000292033
336.4599915	-0.000285562
336.6399841	-0.000291335
336.8199768	-0.000295257
337	-0.000294313
337.1799927	-0.000297777
337.3599854	-0.000302262
337.539978	-0.000286683
337.7200012	-0.000293804
337.8999939	-0.000289883
338.0799866	-0.000292245
338.2599792	-0.000291243
338.4400024	-0.000295119
338.6199951	-0.00028169
338.7999878	-0.000292071
338.9799805	-0.000295975
339.1600037	-0.000291518
339.3399963	-0.000291627
339.519989	-0.000285463
339.6999817	-0.000290375
339.8800049	-0.000290044
340.0599976	-0.000291408
340.2399902	-0.000289272
340.4199829	-0.000282257
340.5999756	-0.000297369
340.7799988	-0.000298116
340.9599915	-0.00030445
341.1399841	-0.000291019
341.3199768	-0.00028896
341.5	-0.000286133
341.6799927	-0.000304482
341.8599854	-0.000299112
342.039978	-0.000289281
342.2200012	-0.000291519
342.3999939	-0.000280647
342.5799866	-0.000285802
342.7599792	-0.000290886
342.9400024	-0.000298929
343.1199951	-0.000292883
343.2999878	-0.000289914
343.4799805	-0.000291591
343.6600037	-0.000288245
343.8399963	-0.000295247
344.019989	-0.000290262
344.1999817	-0.000288957
344.3800049	-0.000297346
344.5599976	-0.000282459
344.7399902	-0.000292997
344.9199829	-0.000285987
345.1000061	-0.000286263
345.2799988	-0.000291084
345.4599915	-0.000289627
345.6399841	-0.00028693
345.8199768	-0.000291513
346	-0.000295464
346.1799927	-0.00029483
346.3599854	-0.000286625
346.539978	-0.000291431
346.7200012	-0.000290042
346.8999939	-0.000287422
347.0799866	-0.000288232
347.2599792	-0.00029199
347.4400024	-0.000283822
347.6199951	-0.000289682
347.7999878	-0.000281284
347.9799805	-0.000302067
348.1600037	-0.000286086
348.3399963	-0.00029369
348.519989	-0.000288615
348.6999817	-0.000283937
348.8800049	-0.000285154
349.0599976	-0.000282988
349.2399902	-0.000302399
349.4199829	-0.00028702
349.6000061	-0.000297302
349.7799988	-0.000281941
349.9599915	-0.000288141
350.1399841	-0.000294055
350.3199768	-0.000283436
350.5	-0.000289558
350.6799927	-0.000286332
350.8599854	-0.000283357
351.039978	-0.00028633
351.2200012	-0.000292184
351.3999939	-0.000280351
351.5799866	-0.00027986
351.7599792	-0.000288281
351.9400024	-0.000289439
352.1199951	-0.000289853
352.2999878	-0.000298831
352.4799805	-0.000300416
352.6600037	-0.000289558
352.8399963	-0.000273751
353.019989	-0.000295422
353.1999817	-0.000283268
353.3800049	-0.000287644
353.5599976	-0.000280216
353.7399902	-0.000283461
353.9199829	-0.000289048
354.1000061	-0.000281014
354.2799988	-0.00029225
354.4599915	-0.000288435
354.6399841	-0.000290172
354.8199768	-0.000289582
355	-0.000291483
355.1799927	-0.000290975
355.3599854	-0.000282724
355.539978	-0.000283683
355.7200012	-0.000291882
355.8999939	-0.000287653
356.0799866	-0.00028108
356.2599792	-0.000285985
356.4400024	-0.000281953
356.6199951	-0.000281653
356.7999878	-0.000287845
356.9799805	-0.000288225
357.1600037	-0.000283551
357.3399963	-0.000290522
357.519989	-0.000284172
357.6999817	-0.00028875
357.8800049	-0.000287372
358.0599976	-0.00028294
358.2399902	-0.000292461
358.4199829	-0.000293314
358.6000061	-0.000292105
358.7799988	-0.000291419
358.9599915	-0.000294938
359.1399841	-0.000289462
359.3199768	-0.000284277
359.5	-0.000284108
359.6799927	-0.000293912
359.8599854	-0.00028909
360.039978	-0.00028194
360.2200012	-0.000287055
360.3999939	-0.000287336
360.5799866	-0.000284238
360.7599792	-0.000282779
360.9400024	-0.000288467
361.1199951	-0.000294771
361.2999878	-0.000282329
361.4799805	-0.000289944
361.6600037	-0.000295323
361.8399963	-0.00029085
