\lambda [nm]	
314.8599854	-0.00028662
315.039978	-0.000285589
315.2200012	-0.000284763
315.3999939	-0.000294773
315.5799866	-0.000293851
315.7599792	-0.00029838
315.9400024	-0.000290449
316.1199951	-0.000290907
316.2999878	-0.000295444
316.4799805	-0.000292472
316.6600037	-0.00029044
316.8399963	-0.000300034
317.019989	-0.000292224
317.1999817	-0.000287643
317.3800049	-0.000292325
317.5599976	-0.000294944
317.7399902	-0.000289928
317.9199829	-0.000292067
318.0999756	-0.000289139
318.2799988	-0.00028591
318.4599915	-0.000302214
318.6399841	-0.00028248
318.8199768	-0.000277244
319	-0.000292776
319.1799927	-0.00029484
319.3599854	-0.000291772
319.539978	-0.000277131
319.7200012	-0.00028479
319.8999939	-0.000294723
320.0799866	-0.00029366
320.2599792	-0.000298862
320.4400024	-0.000291142
320.6199951	-0.000280194
320.7999878	-0.000290201
320.9799805	-0.000298122
321.1600037	-0.000293306
321.3399963	-0.000296379
321.519989	-0.000294567
321.6999817	-0.000297603
321.8800049	-0.00028325
322.0599976	-0.000283172
322.2399902	-0.000287581
322.4199829	-0.000296762
322.5999756	-0.000286492
322.7799988	-0.000291316
322.9599915	-0.00030114
323.1399841	-0.000291772
323.3199768	-0.000292328
323.5	-0.000295949
323.6799927	-0.000285316
323.8599854	-0.000285403
324.039978	-0.000290223
324.2200012	-0.000298363
324.3999939	-0.000304213
324.5799866	-0.000285034
324.7599792	-0.000288146
324.9400024	-0.000285097
325.1199951	-0.000298715
325.2999878	-0.000286177
325.4799805	-0.000287362
325.6600037	-0.000290742
325.8399963	-0.000298305
326.019989	-0.000283274
326.1999817	-0.000288935
326.3800049	-0.000300619
326.5599976	-0.000289668
326.7399902	-0.000289279
326.9199829	-0.000279961
327.0999756	-0.000293079
327.2799988	-0.000302711
327.4599915	-0.00028905
327.6399841	-0.000298008
327.8199768	-0.000298365
328	-0.000282389
328.1799927	-0.000295635
328.3599854	-0.000291626
328.539978	-0.000283589
328.7200012	-0.000291008
328.8999939	-0.000279607
329.0799866	-0.000301388
329.2599792	-0.000291679
329.4400024	-0.000282548
329.6199951	-0.000295706
329.7999878	-0.000290417
329.9799805	-0.000293637
330.1600037	-0.000301479
330.3399963	-0.000307292
330.519989	-0.000297679
330.6999817	-0.000302035
330.8800049	-0.000300578
331.0599976	-0.00029176
331.2399902	-0.000289075
331.4199829	-0.000288065
331.5999756	-0.000304022
331.7799988	-0.000290888
331.9599915	-0.000293603
332.1399841	-0.00029087
332.3199768	-0.000284862
332.5	-0.000291835
332.6799927	-0.000294511
332.8599854	-0.000288225
333.039978	-0.000296781
333.2200012	-0.000290336
333.3999939	-0.00028377
333.5799866	-0.000296742
333.7599792	-0.000294026
333.9400024	-0.000295678
334.1199951	-0.000290782
334.2999878	-0.000298929
334.4799805	-0.000288404
334.6600037	-0.000299033
334.8399963	-0.000294039
335.019989	-0.000301005
335.1999817	-0.00029309
335.3800049	-0.000291649
335.5599976	-0.00028499
335.7399902	-0.00029444
335.9199829	-0.00029802
336.0999756	-0.000286463
336.2799988	-0.000290895
336.4599915	-0.00028469
336.6399841	-0.000291942
336.8199768	-0.000295066
337	-0.000295201
337.1799927	-0.000295596
337.3599854	-0.000300085
337.539978	-0.000286538
337.7200012	-0.00029442
337.8999939	-0.000288536
338.0799866	-0.000288929
338.2599792	-0.000291468
338.4400024	-0.000293495
338.6199951	-0.000283145
338.7999878	-0.000292093
338.9799805	-0.000294872
339.1600037	-0.000288102
339.3399963	-0.00029116
339.519989	-0.000284976
339.6999817	-0.000291842
339.8800049	-0.000291079
340.0599976	-0.000288119
340.2399902	-0.000287053
340.4199829	-0.000281474
340.5999756	-0.000298386
340.7799988	-0.000297408
340.9599915	-0.000302244
341.1399841	-0.000288032
341.3199768	-0.000288162
341.5	-0.000289566
341.6799927	-0.000304933
341.8599854	-0.000298308
342.039978	-0.000288669
342.2200012	-0.000294
342.3999939	-0.000277048
342.5799866	-0.000282318
342.7599792	-0.000286836
342.9400024	-0.000295716
343.1199951	-0.000291094
343.2999878	-0.00029073
343.4799805	-0.000291831
343.6600037	-0.000286122
343.8399963	-0.00029251
344.019989	-0.000290243
344.1999817	-0.000289569
344.3800049	-0.000294765
344.5599976	-0.000281112
344.7399902	-0.000291856
344.9199829	-0.000285337
345.1000061	-0.000286515
345.2799988	-0.000293114
345.4599915	-0.000287289
345.6399841	-0.000289341
345.8199768	-0.00028997
346	-0.000292991
346.1799927	-0.000293803
346.3599854	-0.000287256
346.539978	-0.000291663
346.7200012	-0.000287299
346.8999939	-0.000285719
347.0799866	-0.000288233
347.2599792	-0.000291385
347.4400024	-0.000283705
347.6199951	-0.000290069
347.7999878	-0.000279742
347.9799805	-0.000299968
348.1600037	-0.000284147
348.3399963	-0.000294172
348.519989	-0.000290289
348.6999817	-0.000284098
348.8800049	-0.000283807
349.0599976	-0.000285425
349.2399902	-0.000299325
349.4199829	-0.000288712
349.6000061	-0.000295773
349.7799988	-0.000282265
349.9599915	-0.000284976
350.1399841	-0.0002928
350.3199768	-0.000282949
350.5	-0.000290967
350.6799927	-0.000286081
350.8599854	-0.000285144
351.039978	-0.000285704
351.2200012	-0.000293725
351.3999939	-0.00027886
351.5799866	-0.000276091
351.7599792	-0.000286139
351.9400024	-0.000291958
352.1199951	-0.000288232
352.2999878	-0.000298951
352.4799805	-0.000299473
352.6600037	-0.000289248
352.8399963	-0.000275494
353.019989	-0.000296667
353.1999817	-0.000279248
353.3800049	-0.000287064
353.5599976	-0.000280155
353.7399902	-0.000281467
353.9199829	-0.000287848
354.1000061	-0.000281615
354.2799988	-0.000293389
354.4599915	-0.000289115
354.6399841	-0.000287117
354.8199768	-0.000290262
355	-0.000291927
355.1799927	-0.000288156
355.3599854	-0.000282783
355.539978	-0.000285481
355.7200012	-0.000289279
355.8999939	-0.00028805
356.0799866	-0.000281676
356.2599792	-0.000287568
356.4400024	-0.000281165
356.6199951	-0.000280778
356.7999878	-0.000285835
356.9799805	-0.000286105
357.1600037	-0.000287362
357.3399963	-0.000289701
357.519989	-0.000284638
357.6999817	-0.000285635
357.8800049	-0.000287823
358.0599976	-0.000286743
358.2399902	-0.000291358
358.4199829	-0.000295816
358.6000061	-0.000289677
358.7799988	-0.00029137
358.9599915	-0.000295455
359.1399841	-0.000289299
