#  Epoch   U       B       V       g       r       i
   39.000    6.02848e-02    6.77330e-02    1.71308e-01    9.17788e-02    2.06563e-01    1.80274e-01
   40.000    5.87369e-02    6.55964e-02    1.64683e-01    8.87540e-02    1.97470e-01    1.69102e-01
   41.000    5.72619e-02    6.37148e-02    1.58827e-01    8.65261e-02    1.89410e-01    1.59537e-01
   42.000    5.58225e-02    6.20755e-02    1.53632e-01    8.47434e-02    1.82287e-01    1.51433e-01
   43.000    5.44237e-02    6.06569e-02    1.48941e-01    8.31399e-02    1.75916e-01    1.44698e-01
   44.000    5.30608e-02    5.94511e-02    1.44657e-01    8.17096e-02    1.70107e-01    1.39150e-01
   45.000    5.17109e-02    5.84144e-02    1.40706e-01    8.04050e-02    1.64659e-01    1.34611e-01
   46.000    5.03055e-02    5.75122e-02    1.37050e-01    7.91282e-02    1.59420e-01    1.30716e-01
   47.000    4.89371e-02    5.67074e-02    1.33607e-01    7.79257e-02    1.54357e-01    1.27437e-01
   48.000    4.76058e-02    5.59603e-02    1.30300e-01    7.67602e-02    1.49491e-01    1.24499e-01
   49.000    4.63117e-02    5.52281e-02    1.27099e-01    7.56146e-02    1.44905e-01    1.21708e-01
   50.000    4.50504e-02    5.44804e-02    1.24029e-01    7.44774e-02    1.40606e-01    1.19065e-01
   51.000    4.38292e-02    5.37081e-02    1.21059e-01    7.33424e-02    1.36497e-01    1.16559e-01
   52.000    4.26414e-02    5.29517e-02    1.18149e-01    7.22368e-02    1.32484e-01    1.14220e-01
   53.000    4.14870e-02    5.22060e-02    1.15320e-01    7.11501e-02    1.28581e-01    1.11849e-01
   54.000    4.03677e-02    5.14660e-02    1.12604e-01    7.00163e-02    1.24901e-01    1.08147e-01
   55.000    3.92784e-02    5.07411e-02    1.09947e-01    6.89063e-02    1.21332e-01    1.04567e-01
   56.000    3.82181e-02    5.00265e-02    1.07358e-01    6.78174e-02    1.17852e-01    1.01104e-01
   57.000    3.71832e-02    4.93219e-02    1.04829e-01    6.67443e-02    1.14467e-01    9.77564e-02
   58.000    3.61792e-02    4.86228e-02    1.02353e-01    6.56895e-02    1.11175e-01    9.45157e-02
   59.000    3.52021e-02    4.79380e-02    9.99420e-02    6.46533e-02    1.07973e-01    9.13883e-02
   60.000    3.42511e-02    4.72629e-02    9.75835e-02    6.36362e-02    1.04864e-01    8.83593e-02
   61.000    3.33255e-02    4.65972e-02    9.52851e-02    6.26390e-02    1.01837e-01    8.54420e-02
   62.000    3.24366e-02    4.59367e-02    9.30364e-02    6.16372e-02    9.89356e-02    8.27607e-02
   63.000    3.15724e-02    4.52898e-02    9.08345e-02    6.06595e-02    9.61059e-02    8.01964e-02
   64.000    3.07313e-02    4.46519e-02    8.86910e-02    5.97032e-02    9.33407e-02    7.77398e-02
   65.000    2.99103e-02    4.40190e-02    8.65997e-02    5.87634e-02    9.06442e-02    7.53808e-02
   66.000    2.91140e-02    4.33990e-02    8.45506e-02    5.78472e-02    8.80001e-02    7.31189e-02
   67.000    2.83392e-02    4.27878e-02    8.25552e-02    5.69513e-02    8.54132e-02    7.09540e-02
   68.000    2.75852e-02    4.21852e-02    8.06077e-02    5.60785e-02    8.28785e-02    6.88751e-02
   69.000    2.68518e-02    4.15872e-02    7.87029e-02    5.52242e-02    8.03989e-02    6.68896e-02
   70.000    2.61381e-02    4.10015e-02    7.68461e-02    5.43927e-02    7.79587e-02    6.49976e-02
   71.000    2.54438e-02    4.04241e-02    7.50343e-02    5.35857e-02    7.55582e-02    6.31987e-02
   72.000    2.47684e-02    3.98547e-02    7.32605e-02    5.28006e-02    7.31928e-02    6.14944e-02
   73.000    2.41091e-02    3.92898e-02    7.15340e-02    5.20371e-02    7.08576e-02    5.98916e-02
   74.000    2.34693e-02    3.87365e-02    6.98492e-02    5.12949e-02    6.85732e-02    5.83672e-02
   75.000    2.28392e-02    3.81909e-02    6.81758e-02    5.04518e-02    6.66789e-02    5.65441e-02
   76.000    2.22259e-02    3.76496e-02    6.65462e-02    4.96214e-02    6.48325e-02    5.47842e-02
   77.000    2.16291e-02    3.71193e-02    6.49548e-02    4.88099e-02    6.30323e-02    5.30868e-02
   78.000    2.10485e-02    3.65965e-02    6.33957e-02    4.80104e-02    6.12770e-02    5.14477e-02
   79.000    2.04836e-02    3.60811e-02    6.18791e-02    4.72277e-02    5.95684e-02    4.98638e-02
   80.000    1.99339e-02    3.55697e-02    6.03969e-02    4.64589e-02    5.78983e-02    4.83377e-02
   81.000    1.93974e-02    3.50687e-02    5.89444e-02    4.57025e-02    5.62675e-02    4.68672e-02
   82.000    1.88771e-02    3.45748e-02    5.75304e-02    4.49635e-02    5.46759e-02    4.54489e-02
   83.000    1.83708e-02    3.40879e-02    5.61454e-02    4.42367e-02    5.31207e-02    4.40849e-02
   84.000    1.78782e-02    3.36047e-02    5.47974e-02    4.35217e-02    5.16063e-02    4.27733e-02
   85.000    1.73989e-02    3.31314e-02    5.34800e-02    4.28231e-02    5.01204e-02    4.15067e-02
